OBJECTID,Shape,COMPKEY,ELMNTKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,MEASDIST,RECEIPT_NBR,PANDD_NBR,PANDD_NBR_START,MODEL,PAIDAREA,SUBAREA,SIDE,CONDITION,OWNERSHIP,CURRENT_STATUS,PERSO_NBR,PAY_BY_PHONE,WIRELESS_CARRIER,MODEM,CARD_READER,CATEGORY,PS_CONFIGURATION,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,WKD_RATE1,WKD_START1,WKD_END1,WKD_RATE2,WKD_START2,WKD_END2,WKD_RATE3,WKD_START3,WKD_END3,SAT_RATE1,SAT_START1,SAT_END1,SAT_RATE2,SAT_START2,SAT_END2,SAT_RATE3,SAT_START3,SAT_END3,SUN_RATE1,SUN_START1,SUN_END1,SUN_RATE2,SUN_START2,SUN_END2,SUN_RATE3,SUN_START3,SUN_END3,START_TIME_WKD,END_TIME_WKD,START_TIME_SAT,END_TIME_SAT,START_TIME_SUN,END_TIME_SUN,PEAK_HOUR,SHAPE_LNG,SHAPE_LAT
282,"(47.608426284000075, -122.33828964899999)",527945,25701,109,2757,80,36,PSL-E016,PSL,2ND AVE 0140 BLOCK SW SIDE (  57) 57 FT NW/O UNION ST (02-14-03)                                                                                                                                                                                               ,57,E016,5016502,5016,MS1,Commercial Core,Retail,SW,GOOD,SDOT,INSVC,1650,86919,T-MOBILE,3G, ,DISPLAY,14399,DISTRICT7, ,N,,3.5,480,659,4,660,1019,3.5,1020,1199,3.5,480,659,4,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,6-9AM 3-7PM,-122.338289650356998,47.608426282678593
283,"(47.608275167000045, -122.33260551999996)",527901,58081,109,12775,162,27,PSL-E087,PSL,SENECA ST 0050 BLOCK NW SIDE ( 146) 146 FT NE/O 5TH AVE (12-05-12)                                                                                                                                                                                             ,146,E087,5087002,5087,MS1,Commercial Core,Retail,NW,GOOD,SDOT,INSVC,1331,86786,T-MOBILE,3G, ,DISPLAY,14398,DISTRICT7, ,N,,3.5,480,659,4,660,1019,3.5,1020,1199,3.5,480,659,4,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.332605520930997,47.608275166428697
284,"(47.605243046000055, -122.33276338299999)",527895,56977,109,11665,191,25,PSL-D045,PSL,MARION ST 0030 BLOCK NW SIDE ( 171) 171 FT NE/O 3RD AVE (9-03-28)                                                                                                                                                                                              ,171,D045,4045102,4045,MS1,Commercial Core,Financial,NW,GOOD,SDOT,INSVC,1475,87416,T-MOBILE,3G, ,DISPLAY,14690,DISTRICT7, ,N,,4,480,659,4.5,660,1019,3.5,1020,1199,4,480,659,4.5,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,3-7PM,-122.332763384475001,47.605243044947194
285,"(47.60535849900003, -122.33013087499995)",527892,77613,109,9732,121,25,PSL-D038,PSL,COLUMBIA ST 0050 BLOCK NW SIDE (  96) 96 FT NE/O 5TH AVE (8-05-06)                                                                                                                                                                                             ,96,D038,4038002,4038,MS1,Commercial Core,Financial,NW,GOOD,SDOT,INSVC,1331,86274,T-MOBILE,3G, ,DISPLAY,14688,DISTRICT3, ,N,,4,480,659,4.5,660,1019,3.5,1020,1199,4,480,659,4.5,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.330130876254998,47.605358497700898
286,"(47.60598220900005, -122.33061142699995)",527889,79654,109,11667,140,-25,PSL-D035,PSL,MARION ST 0050 BLOCK SE SIDE ( 117) 117 FT NE/O 5TH AVE (9-05-11)                                                                                                                                                                                              ,117,D035,4035102,4035,MS1,Commercial Core,Financial,SE,GOOD,SDOT,INSVC,1331,86723,T-MOBILE,3G, ,DISPLAY,14688,DISTRICT7,DISTRICT3,N,,4,480,659,4.5,660,1019,3.5,1020,1199,4,480,659,4.5,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.33061142823,47.605982207481397
287,"(47.61317814900008, -122.35210735999999)",527735,8837,109,8731,262,35,PSL-B060,PSL,ALASKAN WAY 0250 BLOCK SW SIDE ( 262) 262 FT NW/O WALL ST (OA-25-15)                                                                                                                                                                                           ,262,B060,2060004,2060,MS1,Belltown,North,SW,GOOD,SDOT,INSVC,1653,86327,T-MOBILE,3G, ,DISPLAY,13839,DISTRICT7, ,N,,1,480,659,1.5,660,1019,1.5,1020,1199,1,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.352107361207004,47.613178148212896
288,"(47.60866320200006, -122.31665832499999)",529394,24554,109,1532,221,-30,PSL-I009,PSL,12TH AVE 0070 BLOCK E SIDE ( 206) 206 FT N/O E CHERRY ST (E12-07-16)                                                                                                                                                                                           ,206,I009,9009002,9009,MS1,12th Avenue,,E,GOOD,SDOT,INSVC,1320,86006,T-MOBILE,3G, ,DISPLAY,14343,DISTRICT3, ,N,,1.5,480,659,2.5,660,1019,2.5,1020,1199,1.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.316658327034006,47.608663200959903
289,"(47.61622160300004, -122.34269625599995)",529694,77122,109,9202,113.5,-25,PSL-J120,PSL,BELL ST 0050 BLOCK SE SIDE (  86) 86 FT NE/O 5TH AVE (23-05-07)                                                                                                                                                                                                ,86,J120,10120002,10120,MS1,Belltown,South,SE,GOOD,SDOT,INSVC,1354,87225,T-MOBILE,3G, ,DISPLAY,13767,DISTRICT7, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.342696257655007,47.616221602176196
290,"(47.603404813000054, -122.33247462399999)",531868,77545,109,9660,221,29,PSL-A136,PSL,CHERRY ST 0020 BLOCK NW SIDE ( 195) 195 FT NE/O 2ND AVE (7-02-16)                                                                                                                                                                                              ,195,A136,1136002,1136,MS1,Pioneer Square,Core,NW,GOOD,SDOT,INSVC,1409,88231,T-MOBILE,3G, ,DISPLAY,12977,DISTRICT7, ,N,,3,480,659,4.5,660,1079,,,,3,480,659,4.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.332474624951004,47.6034048116314
291,"(47.66198650200005, -122.31529365399996)",529705,46766,109,1568,258,-32,PSL-L116,PSL,12TH AVE NE 0450 BLOCK E SIDE ( 233) 233 FT N/O NE 45TH ST (NE12-45-20)                                                                                                                                                                                        ,233,L116,12116602,12116,STELIO,University District,Core,E,GOOD,SDOT,INSVC,2292,86032,ATT,3G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.315293654978007,47.661986500737896
292,"(47.66317537000003, -122.31474941399995)",529826,62097,109,16895,127,26.5,PSL-L106,PSL,NE 47TH ST 0120 BLOCK N SIDE ( 112) 112 FT E/O 12TH AVE NE (NE47-12-08)                                                                                                                                                                                        ,112,L106,12106002,12106,STELIO,University District,Core,N,GOOD,SDOT,INSVC,1354,87048,ATT,3G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.314749415530002,47.663175369158793
293,"(47.61337203200003, -122.34473337999998)",529486,25709,109,2763,95,34,PSL-J025,PSL,2ND AVE 0220 BLOCK SW SIDE (  90) 90 FT NW/O BLANCHARD ST (02-22-05)                                                                                                                                                                                           ,90,J025,10025002,10025,MS1,Belltown,South,SW,GOOD,SDOT,INSVC,1354,86395,T-MOBILE,3G, ,DISPLAY,13767,DISTRICT7, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.344733381728005,47.613372031122005
294,"(47.663044279000076, -122.31259303399997)",529820,39486,109,16897,126,-16,PSL-L103,PSL,NE 47TH ST 0140 BLOCK S SIDE ( 105) 105 FT E/O UNIVERSITY WAY NE (NE47-14-10)                                                                                                                                                                                  ,105,L103,12103002,12103,STELIO,University District,Core,S,GOOD,SDOT,INSVC,1354,87461,ATT,3G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.312593036007996,47.663044277928499
295,"(47.60346702700008, -122.33427518099995)",527874,32546,109,9728,177,-24,PSL-A129,PSL,COLUMBIA ST 0010 BLOCK SE SIDE ( 153) 153 FT NE/O 1ST AVE (8-01-13)                                                                                                                                                                                            ,153,A129,1129002,1129,MS1,Pioneer Square,Core,SE,GOOD,SDOT,INSVC,1652,86865,T-MOBILE,3G, ,DISPLAY,12977,DISTRICT7, ,N,,3,480,659,4.5,660,1079,,,,3,480,659,4.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.334275182648014,47.603467026711094
296,"(47.65690611100007, -122.31374960599999)",529402,84653,109,16756,161,24,PSL-L081,PSL,NE 41ST ST 0130 BLOCK N SIDE ( 144) 144 FT E/O BROOKLYN AVE NE (NE41-13-10)                                                                                                                                                                                    ,144,L081,12081002,12081,STELIO,University District,Core,N,GOOD,SDOT,INSVC,1354,87310,T-MOBILE,2G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.313749608166006,47.656906110485004
297,"(47.61226830100003, -122.34551024999996)",527764,54514,109,9290,181.5,-26,PSL-B077,PSL,BLANCHARD ST 0007 BLOCK SE SIDE (158.) 158.5 FT NE/O WESTERN AVE (22-00-57)                                                                                                                                                                                    ,158.5,B077,2077002,2077,MS1,Belltown,South,SE,GOOD,SDOT,INSVC,1354,86507,T-MOBILE,3G, ,DISPLAY,13767,DISTRICT7, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.345510251852005,47.612268300068799
298,"(47.62158207600004, -122.32076995699998)",527988,54734,109,9453,185,-32,PSL-F020,PSL,BROADWAY E 0030 BLOCK E SIDE ( 173) 173 FT N/O E THOMAS ST (EBY-03-06)                                                                                                                                                                                         ,173,F020,6020002,6020,MS1,Capitol Hill,North,E,GOOD,SDOT,INSVC,2271,86656,T-MOBILE,3G, ,DISPLAY,12963,DISTRICT3, ,N,,2.5,480,659,3.5,660,1019,4.5,1020,1199,2.5,480,659,3.5,660,1019,4.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.320769958442,47.621582074777294
299,"(47.611818579000044, -122.322688761)",529439,77314,109,9371,146,-24,PSL-H053,PSL,BOYLSTON AVE 0110 BLOCK NE SIDE ( 130) 130 FT NW/O SPRING ST (BN-11-08)                                                                                                                                                                                        ,130,H053,8053002,8053,MS1,First Hill,,NE,GOOD,SDOT,INSVC,1331,87232,T-MOBILE,3G, ,DISPLAY,13235,DISTRICT3, ,N,,4.5,480,659,4.5,660,1019,4.5,1020,1199,4.5,480,659,4.5,660,1019,4.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.322688762309014,47.611818578263097
300,"(47.61456181400007, -122.32458973199999)",525953,54449,109,9233,171,31,PSL-G538,PSL,BELMONT AVE 0150 BLOCK W SIDE ( 149) 149 FT N/O E PIKE ST (BT-15-11)                                                                                                                                                                                           ,149,G538,7538002,7538,MS1,Pike-Pine,,W,GOOD,SDOT,INSVC,2192_3.0,87485,T-MOBILE,3G, ,DISPLAY,14210,DISTRICT3, ,N,,2.5,480,659,3,660,1019,3.5,1020,1199,2.5,480,659,3,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.324589733408999,47.614561813288098
301,"(47.66184476400008, -122.31414916499995)",529806,9510,109,9482,208,-30,PSL-L018,PSL,BROOKLYN AVE NE 0450 BLOCK E SIDE ( 183) 183 FT N/O NE 45TH ST (NEBN-45-16)                                                                                                                                                                                    ,183,L018,12018002,12018,STELIO,University District,Core,E,GOOD,SDOT,INSVC,1354,87922,ATT,3G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.314149166299003,47.661844763062497
302,"(47.60178619200008, -122.33117445299996)",527620,81705,109,13764,200,25,PSL-A054,PSL,YESLER WAY 0020 BLOCK N SIDE ( 183) 183 FT E/O 2ND AVE (S1-02-12)                                                                                                                                                                                              ,183,A054,1054002,1054,MS1,Pioneer Square,Edge,N,GOOD,SDOT,INSVC,1410,87548,T-MOBILE,3G, ,DISPLAY,12978,DISTRICT7, ,N,,2.5,480,659,4,660,1079,,,,2.5,480,659,4,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.331174454474009,47.601786191243697
303,"(47.611199326000076, -122.32565346299998)",533942,58085,109,12781,250,32,PSL-H513,PSL,SENECA ST 0110 BLOCK NW SIDE ( 226) 226 FT NE/O BOREN AVE (12-11-08)                                                                                                                                                                                           ,226,H513,8513002,8513,MS1,First Hill,,NW,GOOD,SDOT,INSVC,1339,86736,T-MOBILE,3G, ,DISPLAY,13235,DISTRICT3, ,N,,4.5,480,659,4.5,660,1019,4.5,1020,1199,4.5,480,659,4.5,660,1019,4.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.325653465118009,47.611199325359301
304,"(47.65809458800004, -122.31447701399998)",529789,54765,109,9479,455,26.5,PSL-L009,PSL,BROOKLYN AVE NE 0410 BLOCK W SIDE ( 438) 438 FT N/O NE 41ST ST (NEBN-41-35)                                                                                                                                                                                    ,438,L009,12009002,12009,STELIO,University District,Core,W,GOOD,SDOT,INSVC,1354,88065,T-MOBILE,2G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.314477015022007,47.658094587003596
305,"(47.61095697700006, -122.33512636699999)",531222,34841,109,12201,148,29,PSL-E516,PSL,PIKE ST 0050 BLOCK NW SIDE ( 133) 133 FT NE/O 5TH AVE (15-05-8T)                                                                                                                                                                                               ,133,E516,5516002,5516,MS1,Commercial Core,Retail,NW,GOOD,SDOT,INSVC,1339,87284,T-MOBILE,3G, ,DISPLAY,14398,DISTRICT7, ,N,,3.5,480,659,4,660,1019,3.5,1020,1199,3.5,480,659,4,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.335126368716004,47.610956976350693
306,"(47.656789771000035, -122.31614681399998)",529965,39330,109,16754,136,-29,PSL-L075,PSL,NE 41ST ST 0110 BLOCK S SIDE ( 120) 120 FT E/O 11TH AVE NE (NE41-11-09)                                                                                                                                                                                        ,120,L075,12075004,12075,STELIO,University District,Edge,S,GOOD,SDOT,INSVC,1737,87209,ATT,3G,M500,DISPLAY,,DISTRICT4, ,N,,1,480,659,1,660,1079,,,,1,480,659,1,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.316146814727006,47.656789769509594
307,"(47.66254380700008, -122.31300868599999)",529916,35846,109,13222,466,-25,PSL-L050,PSL,UNIVERSITY WAY NE 0450 BLOCK E SIDE ( 441) 441 FT N/O NE 45TH ST (NEUW-45-36)                                                                                                                                                                                  ,441,L050,12050002,12050,STELIO,University District,Core,E,GOOD,SDOT,INSVC,1354,86904,T-MOBILE,2G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.313008687388006,47.662543805528699
308,"(47.658855301000074, -122.31308341099998)",529911,13214,109,13220,198,-27,PSL-L041,PSL,UNIVERSITY WAY NE 0420 BLOCK E SIDE ( 182) 182 FT N/O NE 42ND ST (NEUW-42-14)                                                                                                                                                                                  ,182,L041,12041002,12041,STELIO,University District,Core,E,GOOD,SDOT,INSVC,1354,86682,T-MOBILE,2G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.313083412908,47.658855300078002
309,"(47.65865556000006, -122.31308865199998)",529910,13214,109,13220,125,-27,PSL-L040,PSL,UNIVERSITY WAY NE 0420 BLOCK E SIDE ( 109) 109 FT N/O NE 42ND ST (NEUW-42-08)                                                                                                                                                                                  ,109,L040,12040002,12040,STELIO,University District,Core,E,GOOD,SDOT,INSVC,1354,87926,T-MOBILE,2G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.313088653202001,47.658655559297003
310,"(47.656467414000076, -122.31335708699999)",529907,35841,109,13218,92,25,PSL-L037,PSL,UNIVERSITY WAY NE 0403 BLOCK W SIDE (  76) 76 FT N/O NE CAMPUS WB PY (NEUW-40-45)                                                                                                                                                                              ,76,L037,12037002,12037,STELIO,University District,Core,W,GOOD,SDOT,INSVC,1354,87989,T-MOBILE,2G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.313357088169013,47.656467413317799
311,"(47.60842278300004, -122.32987133199998)",529773,58181,109,12866,117.5,24,PSL-H131,PSL,SPRING ST 0070 BLOCK NW SIDE (  98) 98 FT NE/O 7TH AVE (11-07-08)                                                                                                                                                                                              ,98,H131,8131002,8131,MS1,First Hill,,NW,GOOD,SDOT,INSVC,1667,86924,T-MOBILE,3G, ,DISPLAY,13657,DISTRICT7, ,N,,4.5,480,659,4.5,660,1019,4.5,1020,1199,4.5,480,659,4.5,660,1019,4.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.329871333455003,47.608422782465006
312,"(47.662901145000035, -122.31412145999997)",529808,9510,109,9482,594,-30,PSL-L020,PSL,BROOKLYN AVE NE 0450 BLOCK E SIDE ( 569) 569 FT N/O NE 45TH ST (NEBN-45-52)                                                                                                                                                                                    ,569,L020,12020002,12020,STELIO,University District,Core,E,GOOD,SDOT,INSVC,1354,87106,ATT,3G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.314121460939006,47.6629011443545
313,"(47.61009754300005, -122.32827241799998)",529720,35433,109,12779,133,30,PSL-H013,PSL,SENECA ST 0090 BLOCK NW SIDE ( 115) 115 FT NE/O 9TH AVE (12-09-10)                                                                                                                                                                                             ,115,H013,8013002,8013,MS1,First Hill,,NW,GOOD,SDOT,INSVC,1331,87324,T-MOBILE,3G, ,DISPLAY,13235,DISTRICT3, ,N,,4.5,480,659,4.5,660,1019,4.5,1020,1199,4.5,480,659,4.5,660,1019,4.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.328272419157003,47.610097542054298
314,"(47.66247968700003, -122.31413251299995)",529807,9510,109,9482,440,-30,PSL-L019,PSL,BROOKLYN AVE NE 0450 BLOCK E SIDE ( 415) 415 FT N/O NE 45TH ST (NEBN-45-38)                                                                                                                                                                                    ,415,L019,12019002,12019,STELIO,University District,Core,E,GOOD,SDOT,INSVC,1354,87064,ATT,3G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.314132514394004,47.662479686453395
315,"(47.66876818600008, -122.38150912999998)",529778,19485,109,19230,286,-34,PSL-K013,PSL,NW MARKET ST 0180 BLOCK N SIDE ( 286) 286 FT W/O BARNES AVE NW (NWMT-18-26)                                                                                                                                                                                    ,286,K013,11013004,11013,STELIO,Ballard,Edge,N,GOOD,SDOT,INSVC,1737,86510,T-MOBILE,2G,M500,DISPLAY,,DISTRICT6, ,N,,1,480,659,1,660,1079,,,,1,480,659,1,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.381509131460007,47.668768185136102
316,"(47.668765138000026, -122.37948878799995)",529775,64317,109,19229,149.5,-34,PSL-K010,PSL,NW MARKET ST 0170 BLOCK N SIDE ( 134) 134 FT W/O 17TH AVE NW (NWMT-17-10)                                                                                                                                                                                      ,134,K010,11010004,11010,STELIO,Ballard,Edge,N,GOOD,SDOT,INSVC,1737,86876,T-MOBILE,2G,M500,DISPLAY,,DISTRICT6, ,N,,1,480,659,1,660,1079,,,,1,480,659,1,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.379488789520011,47.668765137605398
317,"(47.61009879200003, -122.32784565099996)",529719,35434,109,12779,223,-25,PSL-H012,PSL,SENECA ST 0090 BLOCK SE SIDE ( 203) 203 FT NE/O 9TH AVE (12-09-17)                                                                                                                                                                                             ,203,H012,8012002,8012,MS1,First Hill,,SE,GOOD,SDOT,INSVC,1331,87245,T-MOBILE,3G, ,DISPLAY,13235,DISTRICT3, ,N,,4.5,480,659,4.5,660,1019,4.5,1020,1199,4.5,480,659,4.5,660,1019,4.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.327845652149009,47.610098791292302
318,"(47.608164507000026, -122.32769820299995)",529427,11590,109,11589,205,-32,PSL-H032,PSL,MADISON ST 0080 BLOCK SE SIDE ( 192) 192 FT NE/O 8TH AVE (10-08-19)                                                                                                                                                                                            ,192,H032,8032102,8032,MS1,First Hill,,SE,GOOD,SDOT,INSVC,1475,87565,T-MOBILE,3G, ,DISPLAY,13659,DISTRICT7, ,N,,4.5,480,659,4.5,660,1019,4.5,1020,1199,4.5,480,659,4.5,660,1019,4.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,3-7PM,-122.327698204910007,47.608164506611892
319,"(47.663936930000034, -122.31185901399999)",529413,2090,109,2036,312,-23,PSL-L098,PSL,15TH AVE NE 0470 BLOCK E SIDE ( 303) 303 FT N/O NE 47TH ST (NE15-47-26)                                                                                                                                                                                        ,303,L098,12098104,12098,STELIO,University District,Edge,E,GOOD,SDOT,INSVC,2658,86042,ATT,3G,M500,DISPLAY,,DISTRICT4, ,N,,1,480,659,1,660,1079,,,,1,480,659,1,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,3-7PM,-122.311859014863003,47.663936928678602
320,"(47.65838035300004, -122.31271619499995)",529406,16941,109,16792,121,26,PSL-L087,PSL,NE 42ND ST 0140 BLOCK N SIDE (  98) 98 FT E/O UNIVERSITY WAY NE (NE42-14-06)                                                                                                                                                                                   ,98,L087,12087002,12087,STELIO,University District,Core,N,GOOD,SDOT,INSVC,1354,86896,ATT,3G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.312716196626013,47.658380351665905
321,"(47.610903620000045, -122.31664536599999)",529396,24558,109,1534,186,-33,PSL-I011,PSL,12TH AVE 0090 BLOCK E SIDE ( 167) 167 FT N/O E MARION ST (E12-09-16)                                                                                                                                                                                           ,167,I011,9011002,9011,MS1,12th Avenue,,E,GOOD,SDOT,INSVC,1320,86010,T-MOBILE,3G, ,DISPLAY,14343,DISTRICT3, ,N,,1.5,480,659,2.5,660,1019,2.5,1020,1199,1.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.316645367611002,47.610903618898497
322,"(47.60988055100006, -122.31665800399998)",529395,1578,109,1533,239,-30,PSL-I010,PSL,12TH AVE 0080 BLOCK E SIDE ( 219) 219 FT N/O E COLUMBIA ST (E12-08-20)                                                                                                                                                                                         ,219,I010,9010002,9010,MS1,12th Avenue,,E,GOOD,SDOT,INSVC,1320,86008,T-MOBILE,3G, ,DISPLAY,14343,DISTRICT3, ,N,,1.5,480,659,2.5,660,1019,2.5,1020,1199,1.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.316658005199997,47.609880550426695
323,"(47.61534688300003, -122.32014286799995)",528302,37185,109,14634,163,39,PSL-G048,PSL,E PINE ST 0090 BLOCK N SIDE ( 135) 135 FT E/O BROADWAY (E16-09-08)                                                                                                                                                                                             ,135,G048,7048002,7048,MS1,Pike-Pine,,N,GOOD,SDOT,INSVC,1355,86694,T-MOBILE,3G, ,DISPLAY,14210,DISTRICT3, ,N,,2.5,480,659,3,660,1019,3.5,1020,1199,2.5,480,659,3,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.320142868870008,47.615346881792796
324,"(47.61513389100003, -122.32595941899996)",528299,37174,109,14629,56,-30,PSL-G046,PSL,E PINE ST 0041 BLOCK S SIDE (  48) 48 FT E/O CRAWFORD PL (E16-04-53)                                                                                                                                                                                           ,48,G046,7046002,7046,MS1,Pike-Pine,,S,GOOD,SDOT,INSVC,1355,86363,T-MOBILE,3G, ,DISPLAY,14210,DISTRICT3, ,N,,2.5,480,659,3,660,1019,3.5,1020,1199,2.5,480,659,3,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.325959419867004,47.615133890128007
325,"(47.61513436800004, -122.32731730299997)",528297,59994,109,14627,146,-34,PSL-G045,PSL,E PINE ST 0030 BLOCK S SIDE ( 127) 127 FT E/O MELROSE AVE (E16-03-09)                                                                                                                                                                                          ,127,G045,7045002,7045,MS1,Pike-Pine,,S,GOOD,SDOT,INSVC,1355,87189,T-MOBILE,3G, ,DISPLAY,14210,DISTRICT3, ,N,,2.5,480,659,3,660,1019,3.5,1020,1199,2.5,480,659,3,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.327317304203007,47.615134366758795
326,"(47.614006749000055, -122.32594076299995)",528246,59950,109,14595,61,-29,PSL-G028,PSL,E PIKE ST 0041 BLOCK S SIDE (  52) 52 FT E/O CRAWFORD PL (E15-04-55)                                                                                                                                                                                           ,52,G028,7028002,7028,MS1,Pike-Pine,,S,GOOD,SDOT,INSVC,1355,87527,T-MOBILE,3G, ,DISPLAY,14210,DISTRICT3, ,N,,2.5,480,659,3,660,1019,3.5,1020,1199,2.5,480,659,3,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.325940764592005,47.614006747607498
